tanggal,menu,kategori,harga,terjual
2026-08-20,Teh Hangat,Minuman,3000,11
2026-08-31,Nasi Goreng,Makanan,12000,29
2026-08-21,Nasi Goreng,Makanan,12000,28
2026-08-28,Teh Hangat,Minuman,3000,12
2026-08-21,Es Jeruk,Minuman,5000,19
2026-08-27,Es Jeruk,Minuman,5000,21
2026-08-17,Roti Bakar,Makanan,8000,10
2026-08-17,Es Teh,Minuman,4000,
2026-08-25,Kerupuk,Snack,2000,32
2026-09-01,Nasi Goreng,Makanan,12000,20
2026-08-21,Teh Hangat,Minuman,3000,13
2026-08-24,Teh Hangat,Minuman,3000,10
2026-08-17,Nasi Goreng,Makanan,12000,23
2026-08-25,Teh Hangat,Minuman,3000,12
2026-08-20,Mie Ayam,Makanan,10000,14
2026-08-31,Es Jeruk,Minuman,5000,20
2026-09-01,Es Teh,Minuman,4000,45
2026-09-02,Es Jeruk,Minuman,5000,21
2026-08-25,Es Jeruk,Minuman,5000,20
2026-09-02,Roti Bakar,Makanan,8000,11
2026-09-02,,Makanan,12000,33
2026-08-25,Roti Bakar,Makanan,8000,8
2026-08-24,Es Jeruk,Minuman,5000,23
2026-09-01,Mie Ayam,Makanan,10000,20
2026-08-26,Mie Ayam,Makanan,10000,15
2026-08-18,Roti Bakar,Makanan,8000,12
2026-08-19,Es Teh,Minuman,4000,45
2026-08-18,Teh Hangat,Minuman,3000,10
2026-08-17,Mie Ayam,Makanan,10000,15
2026-09-04,Roti Bakar,Makanan,8000,12
2026-09-04,Teh Hangat,Minuman,3000,13
2026-08-17,Kerupuk,Snack,2000,35
2026-08-28,Nasi Goreng,Makanan,12000,27
2026-08-20,Roti Bakar,Makanan,8000,11
2026-08-31,Es Teh,Minuman,4000,38
2026-08-28,Es Jeruk,Minuman,5000,19
2026-09-03,Mie Ayam,Makanan,10000,17
2026-08-31,Roti Bakar,Makanan,8000,10
2026-08-24,Nasi Goreng,Makanan,12000,22
2026-08-27,Es Teh,Minuman,4000,43
2026-08-19,Es Jeruk,Minuman,5000,18
2026-08-28,Roti Bakar,Makanan,8000,9
2026-08-24,Roti Bakar,Makanan,8000,10
2026-08-18,Mie Ayam,Makanan,10000,18
2026-09-04,Kerupuk,Snack,2000,36
2026-08-21,Roti Bakar,Makanan,8000,13
2026-08-26,Es Jeruk,Minuman,5000,22
2026-08-26,Nasi Goreng,Makanan,12000,31
2026-09-03,Roti Bakar,Makanan,8000,10
2026-08-25,Es Jeruk,Minuman,5000,20
2026-09-03,Es Jeruk,Minuman,5000,20
2026-09-02,Mie Ayam,Makanan,10000,19
2026-08-21,Mie Ayam,Makanan,10000,16
2026-09-03,,Minuman,3000,11
2026-08-20,Kerupuk,Snack,2000,34
2026-08-31,Mie Ayam,Makanan,10000,16
2026-08-27,Nasi Goreng,Makanan,12000,24
2026-09-01,Kerupuk,Snack,2000,38
2026-08-21,Es Teh,Minuman,4000,39
2026-09-03,Nasi Goreng,Makanan,12000,25
2026-08-19,Teh Hangat,Minuman,3000,
2026-08-28,Mie Ayam,Makanan,10000,18
2026-08-20,Nasi Goreng,Makanan,12000,
2026-08-19,Mie Ayam,Makanan,10000,20
2026-08-27,Roti Bakar,Makanan,8000,11
2026-08-31,Teh Hangat,Minuman,3000,10
2026-08-25,Nasi Goreng,Makanan,12000,26
2026-08-24,Nasi Goreng,Makanan,12000,22
2026-08-24,Kerupuk,Snack,2000,
2026-08-18,Kerupuk,Snack,2000,33
2026-08-28,Es Teh,Minuman,4000,42
2026-08-24,,Minuman,4000,41
2026-08-27,Kerupuk,Snack,2000,34
2026-08-18,Es Teh,Minuman,4000,38
2026-08-27,Teh Hangat,Minuman,3000,13
2026-08-18,Es Jeruk,Minuman,5000,22
2026-08-31,Mie Ayam,Makanan,10000,16
2026-08-31,Kerupuk,Snack,2000,35
2026-09-01,Roti Bakar,Makanan,8000,13
2026-09-03,Es Teh,Minuman,4000,40
2026-08-20,Es Teh,Minuman,4000,42
2026-08-21,Kerupuk,Snack,2000,36
2026-09-02,Es Teh,Minuman,4000,41
2026-08-17,Teh Hangat,Minuman,3000,12
2026-08-19,Roti Bakar,Makanan,8000,9
2026-09-03,Kerupuk,Snack,2000,33
2026-09-04,Es Teh,Minuman,4000,39
2026-08-20,Es Jeruk,Minuman,5000,21
2026-08-31,Roti Bakar,Makanan,8000,10
2026-08-26,Roti Bakar,Makanan,8000,12
2026-09-04,Mie Ayam,Makanan,10000,15
2026-08-26,Kerupuk,Snack,2000,36
2026-08-18,Nasi Goreng,Makanan,12000,25
2026-08-26,Es Teh,Minuman,4000,40
2026-08-25,Mie Ayam,Makanan,10000,17
2026-08-19,Nasi Goreng,Makanan,12000,19
2026-08-27,Mie Ayam,Makanan,10000,21
2026-09-02,Teh Hangat,Minuman,3000,12
2026-08-28,Kerupuk,Snack,2000,33
2026-09-04,Es Jeruk,Minuman,5000,22
2026-09-01,Teh Hangat,Minuman,3000,14
2026-08-26,Teh Hangat,Minuman,3000,11
2026-08-31,Kerupuk,Snack,2000,35
2026-08-24,Mie Ayam,Makanan,10000,
2026-08-17,Es Jeruk,Minuman,5000,
2026-09-01,Es Jeruk,Minuman,5000,24
2026-09-04,Nasi Goreng,Makanan,12000,28
2026-08-19,Kerupuk,Snack,2000,37
2026-08-25,Es Teh,Minuman,4000,44
2026-09-02,Kerupuk,Snack,2000,34
